,text,date,relative_time,author_first_name,author_last_name,author_headline,comments,reposts,total_reactions,media_type,is_repost,engagement,target,cleaned_text,hashtags,mentions,text_for_bert,topic_from_bert,part_of_day,len
40,"In the past 18 months we've gone from an idea in a Figma file to a market leader in one of the fastest growing categories of AI

I'm extremely proud of the team we've built at Artisan and the extraordinarily talented people I get to work with every day

It's been an insane journey that all started with Oliver Jung taking a bet on us in September 2023 when we had no product and were weeks away from running out of money

A week later, we got into Y Combinator

This week Ava's face was up in Times Square

We've already built the strongest AI BDR product on the market and reached billions of impressions with our marketing, but we have so much more to come this year - stay tuned",2025-04-04 17:28:02,2 weeks ago • Visible to anyone on or off LinkedIn,Jaspar,Carmichael-Jack,"Founder & CEO at Artisan 🦄 | Building AI Employees | Hire Ava, Our AI BDR Artisan",38,7,331,images,No,420,No,In the past 18 months weve gone from an idea in a Figma file to a market leader in one of the fastest growing categories of AI Im extremely proud of the team weve built at Artisan and the extraordinarily talented people I get to work with every day Its been an insane journey that all started with Oliver Jung taking a bet on us in September 2023 when we had no product and were weeks away from running out of money A week later we got into Y Combinator This week Avas face was up in Times Square Weve already built the strongest AI BDR product on the market and reached billions of impressions with our marketing but we have so much more to come this year stay tuned,[],[],past month idea figma file market leader fast grow category extremely proud team build artisan extraordinarily talented people work day insane journey start oliver jung take bet september product week away run money week later get combinator week ava face times square build strong bdr product market reach billion impression marketing come year stay tune,0,Evening,682
37,"In the past week, our ""Stop Hiring Humans"" billboard campaign has organically generated 10s of millions of impressions, millions of likes, 1000s of death threats, 100s of articles and our biggest growth months ever. 

Was it worth it? Yes.

I put together a blog post breaking down the campaign - you can read it at https://lnkd.in/eS2pTRkQ",2024-12-12 20:48:57,4 months ago • Visible to anyone on or off LinkedIn,Jaspar,Carmichael-Jack,"Founder & CEO at Artisan 🦄 | Building AI Employees | Hire Ava, Our AI BDR Artisan",49,8,287,image,No,389,No,In the past week our Stop Hiring Humans billboard campaign has organically generated 10s of millions of impressions millions of likes 1000s of death threats 100s of articles and our biggest growth months ever Was it worth it Yes I put together a blog post breaking down the campaign you can read it at,[],[],past week stop hire humans billboard campaign organically generate million impression million like 1000 death threat 100s article big growth month worth yes blog post break campaign read https://lnkd.in/es2ptrkq,0,Evening,340
54,"Here are the 40+ New Funds Announced in March 2025 💸

Here’s the full list:
↳ 1. Foundation Capital – $600M
 https://rb.gy/bg8eqy

↳ 2. 8VC – $1B
 https://rb.gy/16s1xk

↳ 3. Bessemer Venture Partners – $350M
 https://rb.gy/6eyf1j

↳ 4. Ascent Energy Ventures – $50M
 https://rb.gy/p3zr7e

↳ 5. Doit – $250M
 https://rb.gy/r8a7rn

↳ 6. Homegrown Capital – $30M
 https://lnkd.in/dX9MU2rD

↳ 7. LoftyInc Capital – $43M
 https://lnkd.in/dtxDYga5

↳ 8. JumpStart Ventures – $25M
 https://lnkd.in/dthB6u_7

↳ 9. Jsquare – $50M
 https://lnkd.in/dwgK-EZn

↳ 10. Sofinnova Partners – €1.2B
 https://lnkd.in/dxEVAe3m

↳ 11. Disrupt.com – $100M
 https://lnkd.in/d4Sdhpd7

↳ 12. Aligned Climate Capital – $85M
 https://lnkd.in/d_2Ks8am

↳ 13. Soul Street Ventures – $22.5M
 https://lnkd.in/dZT7qTDq

↳ 14. Daybreak Ventures – $33M
 https://lnkd.in/dDzgBY2h

↳ 15. Pillar VC – $175M
 https://lnkd.in/dG9ZSJiY

↳ 16. @Sofinnova Partners (II) – €165M
 https://lnkd.in/dvFWy-zP

↳ 17. Susa Ventures – $175M
 https://lnkd.in/d_M78fFZ

↳ 18. Ribbit Capital – $500M
 https://lnkd.in/dZ3KATe2

↳ 19. Prime Ventures (VC) Partners – $100M
 https://lnkd.in/dKDpMh3B

↳ 20. Arāya Ventures – $24M
 https://lnkd.in/dyBsc2fv

↳ 21. Cendana Capital – $400M
 https://lnkd.in/dH4Xm699

↳ 22. Adara Ventures – €100M
 https://lnkd.in/dkW2Ssqc

↳ 23. Equator – $55M
 https://lnkd.in/dWe-KhaE

↳ 24. Fusion Fund – $190M
 https://lnkd.in/dFUS6CaF

↳ 25. Daphni – $215M
 https://lnkd.in/dPmHYSzb

↳ 26. Long Journey – $181.8M
 https://lnkd.in/dFy9ZVzR

↳ 27. Innosphere – $11M
 https://lnkd.in/d8MrPFT4

↳ 28. SemperVirens Venture Capital  – $177M
 https://lnkd.in/dxFb_mQ6

↳ 29. 2150 – $200M
 https://lnkd.in/dMRPzkGq

↳ 30. Elbow Beach – $80M
 https://lnkd.in/dDJzKdsh

↳ 31. Haun Ventures – $1B
 https://lnkd.in/dMRPzkGq

↳ 32. Emergence Capital – $1B
 https://lnkd.in/dUiBACHw

↳ 33. Tactile – $100M
 https://lnkd.in/dmzcGXHW

↳ 34. Maven 11 – $107M
 https://lnkd.in/dmt7mrJy

↳ 35. Construct Capital – $300M
 https://lnkd.in/eaekmHku

↳ 36. Twenty25 Ventures (Harvard HBS Class Fund) – ~$1M

↳ 37. Camino Partners – $350M

↳ 38. EA Ventures x Plug and Play Tech Center – €20M

↳ 39. Soulmates Ventures – €50M

↳ 40. Cherry Ventures – $500M

↳ 41. Smartfin – €250M

↳ 42. Shift4Good – €220M

↳ 43. OpenOcean – €100M

🚀 LvlUp Ventures continues to actively deploy capital alongside 15+ funding partners through our VC in Residence and Startup Programs, supporting founders across verticals.

Apply for Funding 👉 https://lnkd.in/egEd8PqX
Join Our Investor Network 👉 https://lnkd.in/eaP6Cptz

#VentureCapital #VC #StartupFunding #EmergingVC #Founders #Investors #NewFunds #DealFlow #EarlyStageStartups #StartupEcosystem #LvlUpVentures #VCinResidence #TechStartups #Fundraising #AngelInvest",2025-04-04 18:34:50,2 weeks ago • Visible to anyone on or off LinkedIn,Aaron,Golbin,"Managing Partner at LvlUp Ventures | Co-Founder & Co-Chairman, National Artificial Intelligence Association | VC, Startups, Investor | 4x Forbes",27,30,254,No media,No,368,No,Here are the 40 New Funds Announced in March 2025 Heres the full list 1 Foundation Capital 600M 2 8VC 1B 3 Bessemer Venture Partners 350M 4 Ascent Energy Ventures 50M 5 Doit 250M 6 Homegrown Capital 30M 7 LoftyInc Capital 43M 8 JumpStart Ventures 25M 9 Jsquare 50M 10 Sofinnova Partners 12B 11 Disruptcom 100M 12 Aligned Climate Capital 85M 13 Soul Street Ventures 225M 14 Daybreak Ventures 33M 15 Pillar VC 175M 16 Partners II 165M 17 Susa Ventures 175M 18 Ribbit Capital 500M 19 Prime Ventures VC Partners 100M 20 Arya Ventures 24M 21 Cendana Capital 400M 22 Adara Ventures 100M 23 Equator 55M 24 Fusion Fund 190M 25 Daphni 215M 26 Long Journey 1818M 27 Innosphere 11M 28 SemperVirens Venture Capital 177M 29 2150 200M 30 Elbow Beach 80M 31 Haun Ventures 1B 32 Emergence Capital 1B 33 Tactile 100M 34 Maven 11 107M 35 Construct Capital 300M 36 Twenty25 Ventures Harvard HBS Class Fund 1M 37 Camino Partners 350M 38 EA Ventures x Plug and Play Tech Center 20M 39 Soulmates Ventures 50M 40 Cherry Ventures 500M 41 Smartfin 250M 42 Shift4Good 220M 43 OpenOcean 100M LvlUp Ventures continues to actively deploy capital alongside 15 funding partners through our VC in Residence and Startup Programs supporting founders across verticals Apply for Funding Join Our Investor Network,"['#venturecapital', '#vc', '#startupfunding', '#emergingvc', '#founders', '#investors', '#newfunds', '#dealflow', '#earlystagestartups', '#startupecosystem', '#lvlupventures', '#vcinresidence', '#techstartups', '#fundraising', '#angelinvest']",['@Sofinnova'],new funds announce march list foundation capital https://rb.gy/bg8eqy 8vc https://rb.gy/16s1xk bessemer venture partners https://rb.gy/6eyf1j ascent energy ventures https://rb.gy/p3zr7e doit https://rb.gy/r8a7rn homegrown capital https://lnkd.in/dx9mu2rd loftyinc capital https://lnkd.in/dtxdyga5 jumpstart ventures https://lnkd.in/dthb6u_7 jsquare https://lnkd.in/dwgk-ezn sofinnova partners 1.2b https://lnkd.in/dxevae3 disrupt.com https://lnkd.in/d4sdhpd7 align climate capital https://lnkd.in/d_2ks8am soul street ventures https://lnkd.in/dzt7qtdq daybreak ventures https://lnkd.in/ddzgby2h pillar https://lnkd.in/dg9zsjiy @sofinnova partners https://lnkd.in/dvfwy-zp susa ventures https://lnkd.in/d_m78ffz ribbit capital https://lnkd.in/dz3kate2 prime ventures partners https://lnkd.in/dkdpmh3b arāya ventures https://lnkd.in/dybsc2fv cendana capital https://lnkd.in/dh4xm699 adara ventures https://lnkd.in/dkw2ssqc equator https://lnkd.in/dwe-khae fusion fund https://lnkd.in/dfus6caf daphni https://lnkd.in/dpmhyszb long journey https://lnkd.in/dfy9zvzr innosphere https://lnkd.in/d8mrpft4 sempervirens venture capital https://lnkd.in/dxfb_mq6 https://lnkd.in/dmrpzkgq elbow beach https://lnkd.in/ddjzkdsh haun ventures https://lnkd.in/dmrpzkgq emergence capital https://lnkd.in/duibachw tactile https://lnkd.in/dmzcgxhw maven https://lnkd.in/dmt7mrjy construct capital https://lnkd.in/eaekmhku twenty25 ventures harvard hbs class fund ~$1 camino partners ventures plug play tech center soulmates ventures cherry ventures smartfin shift4good openocean lvlup ventures continue actively deploy capital alongside fund partner residence startup programs support founder vertical apply funding https://lnkd.in/eged8pqx join investor network https://lnkd.in/eap6cptz venturecapital startupfunding emergingvc founder investor newfunds dealflow earlystagestartups startupecosystem lvlupventure vcinresidence techstartups fundraise angelinvest,1,Evening,2755
96,"📣 Want Your Brand Featured in the LvlUp Ventures CPG Investor Newsletter?

👀 We send out a monthly deal flow newsletter to 1,000+ CPG investors, buyers, and strategic partners — and we’re featuring 3 emerging brands this month.

✅ It’s free
✅ We’ll highlight your brand + traction
✅ And yes… we’ve had founders get investor meetings and shelf space from this newsletter alone

💥 Want in? Like + comment “FEATURE ME” below and we’ll reach out.

(We’re also an active CPG fund — and have discovered some of our favorite portfolio brands this way 👀)

Let’s get you seen 🚀

#CPG #CPGFounders #ConsumerBrand #StartupGrowth #RetailStrategy #DTC #FoodandBev #BeautyBrand #WellnessStartup #EmergingBrands #StartupVisibility #PitchYourBrand #RetailLaunch #Fundraising #RaiseCapital #StartupMarketing #FounderFeature #InvestorNewsletter #BrandAwareness #CPGInvestment #VCbacked #StartupSpotlight #ConsumerGoods #FoundersToWatch #GrowthStageStartups #GetFunded #CPGDeals #StartupSupport #BrandBuilding #FounderLife",2025-03-24 19:17:07,3 weeks ago • Visible to anyone on or off LinkedIn,Brandon,Maier,Growth Focused Value Driven Early Stage VC,130,7,88,No media,Yes,362,No,Want Your Brand Featured in the LvlUp Ventures CPG Investor Newsletter We send out a monthly deal flow newsletter to 1000 CPG investors buyers and strategic partners and were featuring 3 emerging brands this month Its free Well highlight your brand traction And yes weve had founders get investor meetings and shelf space from this newsletter alone Want in Like comment FEATURE ME below and well reach out Were also an active CPG fund and have discovered some of our favorite portfolio brands this way Lets get you seen,"['#cpg', '#cpgfounders', '#consumerbrand', '#startupgrowth', '#retailstrategy', '#dtc', '#foodandbev', '#beautybrand', '#wellnessstartup', '#emergingbrands', '#startupvisibility', '#pitchyourbrand', '#retaillaunch', '#fundraising', '#raisecapital', '#startupmarketing', '#founderfeature', '#investornewsletter', '#brandawareness', '#cpginvestment', '#vcbacked', '#startupspotlight', '#consumergoods', '#founderstowatch', '#growthstagestartups', '#getfunded', '#cpgdeals', '#startupsupport', '#brandbuilding', '#founderlife']",[],want brand feature lvlup ventures cpg investor newsletter send monthly deal flow newsletter cpg investor buyer strategic partner feature emerge brand month free highlight brand traction yes founder investor meeting shelf space newsletter want like comment feature reach active cpg fund discover favorite portfolio brand way let see cpg cpgfounder consumerbrand startupgrowth retailstrategy dtc foodandbev beautybrand wellnessstartup emergingbrands startupvisibility pitchyourbrand retaillaunch fundraise raisecapital startupmarketing founderfeature investornewsletter brandawareness cpginvestment vcbacked startupspotlight consumergoods founderstowatch growthstagestartup getfunde cpgdeal startupsupport brandbuilding founderlife,1,Evening,1003
23,"Artisan has just closed over $700k of ARR in 2 months. This is how I joined the founding team of a hyper-growth startup, without any relevant experience.

I spent a year applying to tech startups without getting any interviews or responses. I knew AI was a field I wanted to go into, but had no idea where to start. I only had ~1 year of experience working in PR, which would hardly make me stand out in a sea of applicants.

Here's what I did in that year, which finally landed me the CoS role at Artisan:

1. Created a list of AI startups that were fast growth, recently raised funding. I checked their job listings religiously.

2. Went to local networking events for founders and startups.

3. Checked the YC job board daily.

4. Used AI in every part of my life and read up on it constantly.

5. Reached out to people I thought were interesting on LinkedIn for coffee chats & insights into the industry.

6. Applied to every open listing that I was remotely interested in.

In December 2023, I got an interview with ElevenLabs. It was the first sign since I started my job hunt that someone was interested. The interviews went well, but as a Series A company, they were looking for someone with way more experience. I was crushed.

In January, I applied to Artisan via their careers form (artisan.co/careers), not expecting to hear back. The next day, Jaspar Carmichael-Jack messaged me to chat.

Here's what I did during the interview process that landed me the job:

1. Phrased my background to justify every step of my journey. I studied English at Oxford (talent for storytelling), went into PR (business operations interest), then moved from healthcare to tech (wanted to contribute to tech's global impact).

2. Was extremely responsive & hard working. I left Saturday plans early for a follow-up interview, spent all of Sunday on my interview task, and worked trial evenings until 12am, after my usual 9 to 5.

3. Excelled at a tough task. Because I lacked experience, I was given a mammoth task to create a website strategy for Artisan's next product launch. I had no idea where to start. GPT was my consultant through the whole process, helping me create a framework from which to work from.

4. Showed confidence in the value I COULD bring, despite my non-traditional background.

Experience shouldn't matter in hiring. Look for intelligence, resourcefulness, scrappiness - qualities for thriving in fast-paced environments. Artisan took a chance on me, which paid off through my rapid growth and dedication.

Build these qualities:
- Resourcefulness
- An insane work ethic
- Perseverance
- Confidence in your value

 and you'll catch someone's eye soon.

I've created a full doc on how to land the job you want. Comment below & I'll share it with you!",2024-07-31 20:55:05,8 months ago • Edited • Visible to anyone on or off LinkedIn,Tina,Sang,Chief of Staff @ Artisan | Building Industry-Leading AI Employees,30,3,290,image,Yes,356,No,Artisan has just closed over 700k of ARR in 2 months This is how I joined the founding team of a hypergrowth startup without any relevant experience I spent a year applying to tech startups without getting any interviews or responses I knew AI was a field I wanted to go into but had no idea where to start I only had 1 year of experience working in PR which would hardly make me stand out in a sea of applicants Heres what I did in that year which finally landed me the CoS role at Artisan 1 Created a list of AI startups that were fast growth recently raised funding I checked their job listings religiously 2 Went to local networking events for founders and startups 3 Checked the YC job board daily 4 Used AI in every part of my life and read up on it constantly 5 Reached out to people I thought were interesting on LinkedIn for coffee chats insights into the industry 6 Applied to every open listing that I was remotely interested in In December 2023 I got an interview with ElevenLabs It was the first sign since I started my job hunt that someone was interested The interviews went well but as a Series A company they were looking for someone with way more experience I was crushed In January I applied to Artisan via their careers form artisancocareers not expecting to hear back The next day Jaspar CarmichaelJack messaged me to chat Heres what I did during the interview process that landed me the job 1 Phrased my background to justify every step of my journey I studied English at Oxford talent for storytelling went into PR business operations interest then moved from healthcare to tech wanted to contribute to techs global impact 2 Was extremely responsive hard working I left Saturday plans early for a followup interview spent all of Sunday on my interview task and worked trial evenings until 12am after my usual 9 to 5 3 Excelled at a tough task Because I lacked experience I was given a mammoth task to create a website strategy for Artisans next product launch I had no idea where to start GPT was my consultant through the whole process helping me create a framework from which to work from 4 Showed confidence in the value I COULD bring despite my nontraditional background Experience shouldnt matter in hiring Look for intelligence resourcefulness scrappiness qualities for thriving in fastpaced environments Artisan took a chance on me which paid off through my rapid growth and dedication Build these qualities Resourcefulness An insane work ethic Perseverance Confidence in your value and youll catch someones eye soon Ive created a full doc on how to land the job you want Comment below Ill share it with you,[],[],"artisan close 700k arr month join found team hyper growth startup relevant experience spend year apply tech startup get interview response know field want idea start year experience work hardly stand sea applicant year finally land cos role artisan create list startup fast growth recently raise funding check job listing religiously local network event founder startup check job board daily life read constantly reach people think interesting linkedin coffee chat insight industry apply open listing remotely interested december get interview elevenlabs sign start job hunt interested interview series company look way experience crush january apply artisan career form artisan.co/careers expect hear day jaspar carmichael jack message chat interview process land job phrase background justify step journey study english oxford talent storytelling business operation interest move healthcare tech want contribute tech global impact extremely responsive hard working leave saturday plan early follow interview spend sunday interview task work trial evening usual excel tough task lack experience give mammoth task create website strategy artisan product launch idea start gpt consultant process help create framework work show confidence value bring despite non traditional background experience matter hire look intelligence resourcefulness scrappiness quality thrive fast pace environment artisan take chance pay rapid growth dedication build quality resourcefulness insane work ethic perseverance confidence value 

  catch eye soon create doc land job want comment share",0,Evening,2767
62,"Founders keep telling me they’re “too early” for VCs 👀 

But more often than not, it’s not the stage that’s the problem — it’s the story.

Investors don’t need millions in revenue.
We need to believe you’re the one to build something big.

When Airbnb was pitching, most investors passed.
The idea sounded niche. Couch-surfing for conferences? Really?

But they reframed it:
“People are already doing this — they’re just doing it in untrustworthy, fragmented ways. We’re building the trusted platform.”

They showed a vision that was WAY bigger than a few air mattresses.
They made the early traction feel inevitable.
They made the pain point obvious.

Suddenly, the “too early” startup became a rocketship 🚀 

Here’s the truth:
You’re not too early.
You just haven’t told a story that makes your future feel inevitable.

If you’re a founder in that zone, I want to hear your pitch.
Even if you only have 20 users.

👇  Apply Here (We Meet With Every Founder) 👇 
🔗 https://lnkd.in/e3tnQh9G

#Startups #Founders #SeedStage #VentureCapital #PitchTips #VC #StartupStory #EarlyStageStartups #AngelInvesting #TechStartups",2025-03-27 17:40:15,3 weeks ago • Visible to anyone on or off LinkedIn,Adam,Ned,Principal | LvlUp Ventures | Early Stage Investment,42,14,240,image,Yes,352,No,Founders keep telling me theyre too early for VCs But more often than not its not the stage thats the problem its the story Investors dont need millions in revenue We need to believe youre the one to build something big When Airbnb was pitching most investors passed The idea sounded niche Couchsurfing for conferences Really But they reframed it People are already doing this theyre just doing it in untrustworthy fragmented ways Were building the trusted platform They showed a vision that was WAY bigger than a few air mattresses They made the early traction feel inevitable They made the pain point obvious Suddenly the too early startup became a rocketship Heres the truth Youre not too early You just havent told a story that makes your future feel inevitable If youre a founder in that zone I want to hear your pitch Even if you only have 20 users Apply Here We Meet With Every Founder,"['#startups', '#founders', '#seedstage', '#venturecapital', '#pitchtips', '#vc', '#startupstory', '#earlystagestartups', '#angelinvesting', '#techstartups']",[],founder tell early vcs stage problem story investor need million revenue need believe build big airbnb pitch investor pass idea sound niche couch surfing conference reframe people untrustworthy fragmented way build trust platform show vision way big air mattress early traction feel inevitable pain point obvious suddenly early startup rocketship truth early tell story make future feel inevitable founder zone want hear pitch user apply meet founder https://lnkd.in/e3tnqh9 startup founder seedstage venturecapital pitchtips startupstory earlystagestartups angelinvesting techstartups,1,Evening,1115
42,"We just crossed the official 1 year anniversary of Artisan! It's been an incredible journey full of ups and downs. We're now at a crazy inflection point - we just raised a (now $12.1M) Seed, we're days away from crossing $1.5M ARR and are preparing to raise our Series A very soon - here's what I've learned:

1. SF is boring, and that's why not being here is startup su*cide

A friend once told me that SF's boringness is ""a feature not a bug"" and that stuck with me. Earlier this year I almost moved our team to New York - and while that would have been significantly more fun, it would in no way propel us towards our goal of building a generational company 

If you really care about your startup, you should be building in SF 

2. You need to make a LOT of noise

We're the newest player in the AI SDR space and probably the best known. If you want to me a market leader, you should be shouting from the rooftops and doing what you need to do to get eyeballs... some might have noticed our multiple Seed announcements ;)

3. Competition is fun

We have some very close competitors, and while a lot of people would find that intimidating, our entire team love it. There's nothing like competition to light a fire under your team to build better products, grow faster, and execute better

4. There's nothing I'd rather do

Building a company is a rollercoaster, but I genuinely believe it is one of the most rewarding and exciting things you can do. I want to be building Artisan for the next 20 years. We've got our eyes on IPO 👀 

If you're interested in joining our team and helping us build the next paradigm of software as we go through this hypergrowth phase, apply at https://lnkd.in/ePZACACq :)",2024-10-07 15:01:01,6 months ago • Visible to anyone on or off LinkedIn,Jaspar,Carmichael-Jack,"Founder & CEO at Artisan 🦄 | Building AI Employees | Hire Ava, Our AI BDR Artisan",29,4,278,image,No,344,No,We just crossed the official 1 year anniversary of Artisan Its been an incredible journey full of ups and downs Were now at a crazy inflection point we just raised a now 121M Seed were days away from crossing 15M ARR and are preparing to raise our Series A very soon heres what Ive learned 1 SF is boring and thats why not being here is startup sucide A friend once told me that SFs boringness is a feature not a bug and that stuck with me Earlier this year I almost moved our team to New York and while that would have been significantly more fun it would in no way propel us towards our goal of building a generational company If you really care about your startup you should be building in SF 2 You need to make a LOT of noise Were the newest player in the AI SDR space and probably the best known If you want to me a market leader you should be shouting from the rooftops and doing what you need to do to get eyeballs some might have noticed our multiple Seed announcements 3 Competition is fun We have some very close competitors and while a lot of people would find that intimidating our entire team love it Theres nothing like competition to light a fire under your team to build better products grow faster and execute better 4 Theres nothing Id rather do Building a company is a rollercoaster but I genuinely believe it is one of the most rewarding and exciting things you can do I want to be building Artisan for the next 20 years Weve got our eyes on IPO If youre interested in joining our team and helping us build the next paradigm of software as we go through this hypergrowth phase apply at,[],[],cross official year anniversary artisan incredible journey down crazy inflection point raise seed day away cross arr prepare raise series soon learn boring startup su*cide friend tell boringness feature bug stick early year move team new york significantly fun way propel goal build generational company care startup build need lot noise new player sdr space probably well know want market leader shout rooftop need eyeball notice multiple seed announcement competition fun close competitor lot people find intimidate entire team love like competition light fire team build well product grow fast execute well build company rollercoaster genuinely believe rewarding exciting thing want build artisan year get eye ipo interested join team help build paradigm software hypergrowth phase apply https://lnkd.in/epzacacq,0,Afternoon,1705
5,"After announcing our $25M Series A last week, I'm excited to share that we are launching V3 of Artisan

This release brings us closer to what outbound should be: one consolidated AI-native platform that’s intent-driven and actually effective

Most teams today juggle 5+ tools just to run basic outreach. It’s clunky and outdated. Our AI BDR Ava watches the market, identifies intent signals, and acts in real time

Here’s what’s new in V3:

Data miner - Ava scrapes 100s of sources (firmographic, technographic, intent) to pull rich lead data

Personalization waterfall - Ava dynamically identifies the best personalization on a lead level

Watchtower campaigns - Ava monitors intent signals across the internet and launches outreach the moment a lead shows buying intent (this is being rolled out with more and more triggers over the next few months)

Outbound is evolving. And we’re building the system that leads the shift

Learn more about Ava: artisan.co/talk-to-sales

While this is exciting for us, I'm beyond excited to share what V4 looks like - there's truly nothing like it on the market. It's already in the works and will be launching in Q3",2025-04-14 17:58:48,4 days ago • Visible to anyone on or off LinkedIn,Jaspar,Carmichael-Jack,"Founder & CEO at Artisan 🦄 | Building AI Employees | Hire Ava, Our AI BDR Artisan",18,13,273,video,No,335,No,After announcing our 25M Series A last week Im excited to share that we are launching V3 of Artisan This release brings us closer to what outbound should be one consolidated AInative platform thats intentdriven and actually effective Most teams today juggle 5 tools just to run basic outreach Its clunky and outdated Our AI BDR Ava watches the market identifies intent signals and acts in real time Heres whats new in V3 Data miner Ava scrapes 100s of sources firmographic technographic intent to pull rich lead data Personalization waterfall Ava dynamically identifies the best personalization on a lead level Watchtower campaigns Ava monitors intent signals across the internet and launches outreach the moment a lead shows buying intent this is being rolled out with more and more triggers over the next few months Outbound is evolving And were building the system that leads the shift Learn more about Ava artisancotalktosales While this is exciting for us Im beyond excited to share what V4 looks like theres truly nothing like it on the market Its already in the works and will be launching in Q3,[],[],announce series week excited share launch artisan release bring close outbound consolidated native platform intent drive actually effective team today juggle tool run basic outreach clunky outdated bdr ava watch market identifie intent signal act real time new datum miner ava scrape 100s source firmographic technographic intent pull rich lead data personalization waterfall ava dynamically identify good personalization lead level watchtow campaign ava monitor intent signal internet launch outreach moment lead show buy intent roll trigger month outbound evolve build system lead shift learn ava artisan.co/talk-to-sale exciting excited share look like truly like market work launch,0,Evening,1153
0,"Trying to build a unicorn without a mission-driven cuture is setting yourself up for failure. So we got a hacker house.

We've rented a house in SF and some of our team have now moved in together. We got a huge billboard of Ava (our AI BDR) outside our window, so she can work with us too! 

We've been flying out our remote employees for in-person sprints. 5 of our team have already come to work with us in person, and it's led to some of the most productive weeks we've had.

In the span of a few weeks, we've:
- Built our strategy for the remainder of 2024
- Started laying the groundwork for our next Artisan 👀
- Mapped out our V4 sales product roadmap
- Done an in-person engineering sprint
- Gotten closer as a team

Building culture among a remote team can be difficult, and it’s something I’m learning more about and getting better at every day. 

A few of our early learning with remote/hybrid culture have led to us doing the following:

- A weekly All Hands that reiterates our mission, aligns the team and celebrates wins 

- Developing 6 core company principles which we encourage everyone to live by, centered around how we interact with others, operate, and treat our customers

- Clearly defining our mission. Everyone on the team knows we’re building a $100bn company and redefining the broken software landscape

- Only having the best people. Our team are extraordinary talented, work hard and seek perfection. We hold that bar with new additions  

- Making Slack fun! Our Slack is full of custom emojis and key stats are sent to different channels daily. We try to keep the “office door knock” vibe by heavily using huddles

And as we rapidly grow Artisan, we're looking for insanely talented people to help us build the next paradigm of software - with consolidation and automation at the core of our mission. We're looking for passionate builders who want to pave the way for the next Industrial Revolution.

If that excites you, get in touch: http://artisan.co/careers",2024-08-08 19:15:44,8 months ago • Edited • Visible to anyone on or off LinkedIn,Jaspar,Carmichael-Jack,"Founder & CEO at Artisan 🦄 | Building AI Employees | Hire Ava, Our AI BDR Artisan",17,4,270,image,No,312,No,Trying to build a unicorn without a missiondriven cuture is setting yourself up for failure So we got a hacker house Weve rented a house in SF and some of our team have now moved in together We got a huge billboard of Ava our AI BDR outside our window so she can work with us too Weve been flying out our remote employees for inperson sprints 5 of our team have already come to work with us in person and its led to some of the most productive weeks weve had In the span of a few weeks weve Built our strategy for the remainder of 2024 Started laying the groundwork for our next Artisan Mapped out our V4 sales product roadmap Done an inperson engineering sprint Gotten closer as a team Building culture among a remote team can be difficult and its something Im learning more about and getting better at every day A few of our early learning with remotehybrid culture have led to us doing the following A weekly All Hands that reiterates our mission aligns the team and celebrates wins Developing 6 core company principles which we encourage everyone to live by centered around how we interact with others operate and treat our customers Clearly defining our mission Everyone on the team knows were building a 100bn company and redefining the broken software landscape Only having the best people Our team are extraordinary talented work hard and seek perfection We hold that bar with new additions Making Slack fun Our Slack is full of custom emojis and key stats are sent to different channels daily We try to keep the office door knock vibe by heavily using huddles And as we rapidly grow Artisan were looking for insanely talented people to help us build the next paradigm of software with consolidation and automation at the core of our mission Were looking for passionate builders who want to pave the way for the next Industrial Revolution If that excites you get in touch,[],[],"try build unicorn mission drive cuture set failure get hacker house rent house team move get huge billboard ava bdr outside window work fly remote employee person sprint team come work person lead productive week span week build strategy remainder start lay groundwork artisan map sale product roadmap person engineering sprint get close team building culture remote team difficult learn get well day early learning remote hybrid culture lead follow weekly hands reiterate mission align team celebrate win develop core company principle encourage live center interact operate treat customer clearly define mission team know build 100bn company redefine break software landscape have good people team extraordinary talented work hard seek perfection hold bar new addition  

 make slack fun slack custom emoji key stat send different channel daily try office door knock vibe heavily huddle rapidly grow artisan look insanely talented people help build paradigm software consolidation automation core mission look passionate builder want pave way industrial revolution excite touch http://artisan.co/careers",0,Evening,1993
13,I’m happy to share that I’m starting a new position as Account Executive at Artisan!,2024-09-25 19:35:43,6 months ago • Visible to anyone on or off LinkedIn,Evangeline,Crossland,"Account Executive at Artisan | Hire Ava, our AI BDR",51,1,178,No media,Yes,282,No,Im happy to share that Im starting a new position as Account Executive at Artisan,[],[],happy share start new position account executive artisan,0,Evening,84
